tier,division,summonerName
BRONZE,I,lftcuu69AqFhXeyH7SsiMP7EMQhycDyhOkgWC_pWm9EZHb6dl2svPV_yw_kra1H6I1H08MVAWG710g
BRONZE,I,09yxpYS0qJEVU-PCfwpVI-vAzAO6XieKo6tbO7VN02K8IMu8rcQYFe5Dqkn96Kbwxt2xJdrt5gWEwg
BRONZE,I,CEadqlx55m255pwrE3YxgD3D_naD4Zpkw4FqDFVnl-qCUOw8RUyZIUfGLIwvYwtV1O72DTfHSvuLGw
BRONZE,I,vIcfOvjjTgY-XAmXYfNIuL7hw6vf9rtWSmE_xSz7dfFN22SMOuHd3_BlZ8IyL7RbbTY08NnU4P6saA
BRONZE,I,CFgRXq14oTw41hXINXrfoRFCIGcRk9filP_iBknZWkde9hsQeB3ff6K9knGVJr5tULUgaktDt8yw4A
BRONZE,I,6jotu7yF3fZhgXe0te9ez5M_v1Yl9n-dfWWjxFtI-Ca_p2XOdPt7Q3IoTbiQxHQ2T4ChL2pQLKuLng
BRONZE,I,rTnZCcVC6rj5pEnqpy7SQbg86NZLI8wC2-CThUE48Nywi3C3PrlWqnl5irK_2R1cKkqM7Lu8XPA1AA
BRONZE,I,-_pjkRSg24aOHeun6MPR_o9OlDCrVh91U468GAhRAfTQNbRkemKZfJsvj_vhroyGsHcghOacO0_0ag
BRONZE,I,QtRS2vUitRWIg1hlMM_z3Hic2yWyEQ7spv3KLuxyBS8OpoZSI8KpKsav46kygWNYD_LwKQ5TpB1MrQ
BRONZE,I,_pIq8FTu9gZjMuXPpX9qyGfJP30Rmmq3O_SEz6DYulbdMnRiHmLU7CLu0eseeRoUcckTOdOD-qWe1g
BRONZE,I,4p4gLt7SzXiZYLxsQ8MYm6McO8srxig3dIj-6DIvoYD85omzbGLWNuWpboyo39T8yalYcdoMzjjM2g
BRONZE,I,0q6LhytBBtbO6BLHf1dPRXYNscIqgHFYNP0G4ykufFqp975i3A9b0xPsXrk6YJVUG0u4vCik4ufNBQ
