tier,division,summonerName
DIAMOND,I,SwMa54Mq7ipc5OsvwpRpz2OkzqWsLNQONlhM4S9lxpV9boTvcIfIfh5jH7rPxGdqpcFMkdZaCyXt-A
DIAMOND,I,QPJbU68xp71jgsGeL3Uxl55dVbrWE-yvImdHMotI-zpzu1VSgKZO-ojhCYboU2lWpm-rj7yrUUlyqQ
DIAMOND,I,fn-Pik5_5Qm5UkZ-mZGqlUpaESru1JvaVo7ePIbVOlFK4-2Oa4KKAkuBHCWw0u4D3Wrj20p135SCQQ
DIAMOND,I,PMZMJ_EeX17v6w5Zq1iqxe9O-WL5f7BvXefn3WGuEtr0UM9lGtGaIDHsCXcGXzDBTRvlOed9-TGDEg
DIAMOND,I,DfBUqum4bj8UTUkTncfvXpAnySrq2UWeskMtorYI1jSh5SsYBiO9YIDl4gOS805fBhd7dbI0gnKpog
DIAMOND,I,YLLHIGsWuxBOtV5mP1SiGp7bDj5c7eHTKwSuuiMulEHinm4nl_e8pBPADPtECByQUXE_a9e9E__w0w
DIAMOND,I,z55HRjWgvBbSRQSU33vFAlD0vCMtFiu4pUNp1kKBKefPJ_nV3XwQcxEwbqDI6WnNsmJgw6bYQZXMWA
DIAMOND,I,mIoGWDmY4sVrUj8c2c4-48_0Mt7mupmaEO-_F7NsDs880P1IQuNqIBnqWM4UGuLHZ7aBXrCJiMC_bg
DIAMOND,I,WhFTaH8-HdDCjNj7ZbpKKhCHNrFEjw-tzPadmB-uGkvWmB1rSuc0afdS10jnlU8k5ESRZU5FJoBP9A
DIAMOND,I,fuw6CBTJNHpvGYU71PEl8e3hN4FVI-LMwAX6u8xTj2XFjd3yIQvxQ49ONz6AgsVwxP0I4AzgTGMe7A
DIAMOND,I,0kQP2K9PapRi_4AeJItG6gvw1We7xfF9BPI_gAhQCGxM-qVvoLbLGw5FIiSkUe-6jaRfNLL2HKTkvw
DIAMOND,I,nHs1DHxcs1kEdR3m6XPMiOJKWFte0VcI4sneoOoPHKRYVryBBJPzFDwUEstVP3p5o14raIYws261Vg
DIAMOND,I,73OjTY-lPQyd_5f6AHno23oNAHvU2EYPFDn7qwmY60lgfi4AjCc0B1WRsOhdnW9p27MmAezz-W7ZlQ
DIAMOND,I,67RECjPHYoWxZei3LU0Ri2PkfRZPWwVfHrIP-n6tzlMjTx-4-aaMjF_tNFJfFGn_NJamqWt64VFeQg
DIAMOND,I,haO7A3AcAb3hG0NI0BKqh8pDpa0rVEhg48OMehViSSlPxXCHdSwFmfFf792oPI724NgXHa8weTcpBg
DIAMOND,I,LHkCT_GVwArxFywfuGWaXvcvQFjSz6gSMjdTayhxOOeZUTi10wlKNyZi6ZycOmsYppExBPP9BqNIsw
DIAMOND,I,JfXmuG9dZgIjOuIR_ptRloT9tN4WeqbUAcH6QwO2WCZpk_TgQmNTS6Kd4r6FRO7-wujy-kQt4V3b3A
DIAMOND,I,EHg14lUijTi-uZYi73EmAxtKoGfnvd7-7k-pwsf7B9OkFypyhFuJJ5C87vJq4PT2w5BVTemCWrI4UQ
DIAMOND,I,fWr_Twu36RSThi_WqvlYsP5eBqrIPjmO4Ef-CCH4YYZ7dRyEq3hi9cQYixd32VMzJVhGgmfzImXKiw
DIAMOND,I,tr9hqLxb8y5PcFw4337nkEe62Q0AHOYDX68meISDx5xyDGcGHdHHWyNZ9L_GRuW5BgyDuKNzqY_vCQ
DIAMOND,I,A_Y0Mkm1CW9Mx1AefOTHePc7gF7YeKheDuzfBV4nhLYtSP3A8JgsOtNwTGId1aIhqHKcwIyCxXNvvw
DIAMOND,I,JALE9FQawsPbXgZPjD2dRPA3BV4OHHRCMjFstXqczqcf8u6x4-TgPkTVx98q84faDfj48bsda52RlQ
DIAMOND,I,LfMAnrQIRDEKSk2M0SgEYw5AY_DWw10J1UXy3weNlmc2aFKL4m3SM2Es-ctc-uHLRkUAcS9iudhkgA
DIAMOND,I,2Mmpb7jsbZrCHg-HG9YLBMUrgukbuixML01vKmM6BsIURlWs-gwg9rfObZgbGCZJBGy3ArQkaFD2Ww
DIAMOND,I,VCyDMfvOPUzr1KyBJZo5xmfSmh2hzOojREasdQF-I5QWKqxKdqDExwEUBD9_VFTOwk0Ee1tf48AFFg
DIAMOND,I,4z1h6FvjUVJhYGgcCicmbaf26pTCzpX-14d88F3pabBvV0Gyd431pObC28wOvhTRFIzAMolDMeOVpw
