tier,division,summonerName
EMERALD,I,d-IW6yXCLFgi2FrcmQyjPa1Et52D-BoYVvT6_9S_M49eAG6FegLOGkOlIIXecRAyHXH--rVyU0d9gw
EMERALD,I,s4ljyAeHFGKeLIfQ2angefmHwnyGdwNZ4q_aukOeq8vE1WqeXPVVmeTeImmj8zBTTqmPsoXv1_0CBg
EMERALD,I,6-oKo0MbMZlOjVL6L9fX6gDlWDkt0wGzHmOvB0mOzgzkIlNwrm8xs9BuxoKibjrgDjtuBzSTj8wieA
EMERALD,I,V1g8Pmxy26sBuLhhAYBrRM6vNFZUfwtt6FosBXTEK0hK8ysZwEnzrjfxtOQjR7cRGiBD4giKbd2KeA
EMERALD,I,Sr7N3AftEpT_iWaMtwumOrCbR3dHPMGRpLir7a-j7aVsJ1OpOtaS_h71nm4JYRo5ePgNv3BeAZ-Kow
EMERALD,I,l5Ci51vssbvlRl6IL2mbA9sSHxWh8bEswcYrqbb40Mo4ut3ljmKVN-LmmwIxfnicB3b1vtdSu83ieA
EMERALD,I,YrVybL8ps9rF6CWxZ9910qrmEwGP71ih5O6xzYCPKw_Pz_vY72ygD7q0oGF-gPLGz2IzmYgmpzyS_g
EMERALD,I,8zYVF1g2W5o-ChNkLnLZo_-IIK4UYqrzZnuXdI_eFbcB2Ox-rxHaYutOP3FIkbnr6UMn3HOwdCPKlA
EMERALD,I,TYkkpsFs4rYBZrlrCYyle88iJEaiyCLSkR6HVu6FdMU_Rz9GtW4kmxsgRJwcZg7zZL4vuuAXAsUO9w
EMERALD,I,399kJcqmCt3Rpxc4I5v4Dez-wDlyAJLPeLzzRGgAX1qdeUGdjwul7EkWl9QzSEJE6RABIhje0g0azw
EMERALD,I,W1Qv3jWkQFGo0sk-B22-EdHng_9qHU4ARlYHxJrMdqDn6I386_VwTXvkALbkgGDPM0vpCQkv3Dr_PA
EMERALD,I,_YQK_TYjT09CV9TJMFu67Ya5lwdQVmC6VL42l9bffBCcxX9c5aLHY79b6Sndh0cyXhk0uCTiObT2Qw
EMERALD,I,A1LpJOv15J_6DUOvBxZ252W5rlCAw9VhguyT-aj6h1LIU_Tnyb1yKAaIyRSUQTSoTryJaVVhY888lQ
EMERALD,I,Z9mkAvx5Bo95rZyAC8ixnwn2BWBpdpd0Y8zDVj9tYnUhW8otiN_9eNsHA0HHfCqjRF1vMFm19eY2_g
EMERALD,I,274opzlqoNX8T3uf2W3PmHWxLwIfV23CozquLacvuhQNx093wjvdqiw-tK4FZKoFzAkA9rvTtR8_PA
EMERALD,I,ehHkVB8gvd97-DDcq0N5zmRV1zHg1vU9OkTDz19iJWAttSAq8uQ8gsqyKUeIDdvW22au5R5NMvCkPQ
EMERALD,I,OQG6ul2aGi2Dn9L7Cd19Q1TYEtE6cumb_XHcaVt_vLgikS3xTu858GEiAyxWfeAFKcEOclmI1xZ8Rg
EMERALD,I,sQOSQ7bfSOv4R8d8jyUio0k0OTR8eKjfPpLiVuMoTCvmQC0ELOWAOS0wf5eVDN2ibTEBcaE5atzRdA
EMERALD,I,8iMHSRgs6zWY0Ryo5yXxyO99QqQIdy0E68YkOVYR6EM9hZ1ZObaFLoAwJBmk2EHZYVkh3qV32t7wSg
EMERALD,I,H-t_-uSYd3iRyXkyNKkxHHSsL4WO06upgQLxFE2DtsTgiwsO6ncevHqVUS_v5q8GWAm0eg7oP1NUQQ
EMERALD,I,iRW8DTqjoSjPQd05aMuHfi4TKvGmSkls0u8Ap8HCuXqCNBHGt4s9tRqla8tnt80YJymbjfrwP-81cw
EMERALD,I,CAoXhmrwuGe8GZrul_1dkVybAO1dnJ8FSFKuy2xkxJ2rqMh_DhDBOd_EBVLmEvj5EOpAYbxOXjt0Iw
EMERALD,I,VnIb3uIt9uPw-MbtGN5a7oAS-a7Te4LbVjL6H-G9JvgN6cwbukFFGkespAtQ6r08IYsSjDXQ41fwSw
EMERALD,I,FceVvJ4R9rKH7CE-pmEY0CCYAlCRyYFnaYX5t8wk9dj5LxJeSdufaKCeIkI1i2mYe7s5W5ghY9xbTQ
EMERALD,I,Xcv5EiysWszv70A7m9LC2SfJNRj3QcrSk-OLbAdFiaLNj7b8ZroChhDur0GqjJCvuF18Qhga2VdZkQ
EMERALD,I,StTD2nyDl7AnQl8QM2FhvEaK8wdbN2BDaeTtK4qstgql3umIWa6L3PUxJqukjDbLd-OZZLYi7Wv3QA
EMERALD,I,SV7r5ARR90XfvxBQIkDrYhw74cnkAbW42wwc4ubBV5_ceduYSjgScn3J27QmbOY2qU_vVQoMcY3Pmw
EMERALD,I,qExQfVXpxRl4YprDOI8rwks5hUtfxlGhAg3ge6V1XxNChSOePyQSiYUzJNB0JXn8otuOk-vLckNLmw
EMERALD,I,lfkV-4Gb7_lz8f4ce1R0N6fCdvtHKF054f-kuIBd9TD6IZERhdZ0QYYpCynv7edN2a3iVvaNHeqy2w
