tier,division,summonerName
GOLD,I,Mouth of Sauron
GOLD,I,Seraldo
GOLD,I,Rebel Tobi
GOLD,I,urgotgaren
GOLD,I,Laeeb
GOLD,I,sexboss
GOLD,I,Thimo
GOLD,I,ENDRYCIO
GOLD,I,Med Sifriiw
GOLD,I,RaúlRaúl
GOLD,I,icemanCDMT
GOLD,I,TheC0rpsE
GOLD,I,TinkyWinky2
GOLD,I,MAYOADCQT
GOLD,I,Knuznuz
GOLD,I,WrathfulSinner
GOLD,I,AleCormy
GOLD,I,PinguinoSupremo
GOLD,I,eƒa
GOLD,I,Jorwund5
GOLD,I,Trisha Paytussy
GOLD,I,Dejà vu
GOLD,I,boulam3a 13
GOLD,I,Fyrebw
GOLD,I,J0rnn
GOLD,I,Lubichowo ADC
GOLD,I,IΩEE
GOLD,I,Faloffel
GOLD,I,4nthonis
GOLD,I,cpt bugbeard
GOLD,I,Its me Goku
GOLD,I,Sanji ZLS
GOLD,I,yea whatever
GOLD,I,TheWienerWielder
GOLD,I,Halowall
GOLD,I,In The Shadöw
GOLD,I,TFK Kaizenn
GOLD,I,Alfredoxx
GOLD,I,daniespin132
GOLD,I,desert kitten
GOLD,I,TouchedTiger
GOLD,I,Xasnax
GOLD,I,Hallå Sverige
GOLD,I,MilkyMoontoe
GOLD,I,nazag99
GOLD,I,just a casul
GOLD,I,Fuk UPC
GOLD,I,Math402
GOLD,I,Meshack
GOLD,I,GestapoGerhard
GOLD,I,veryfunnyhaha
GOLD,I,TiensTonPantalon
GOLD,I,Ryk034
GOLD,I,Jsatsu xD
GOLD,I,be select
GOLD,I,uNsHaKLËDSTÄLKER
GOLD,I,Sassageld
GOLD,I,Ben1812
GOLD,I,techno fanboy
GOLD,I,juanmiscar277
GOLD,I,Aram Gοd
GOLD,I,NappiPastori
GOLD,I,rAfz
GOLD,I,Treηch
GOLD,I,Rolerevor
GOLD,I,Buhdeuce
GOLD,I,Cronoloxian
GOLD,I,DNA TripleK
GOLD,I,xXweedforallXx
GOLD,I,LenexTLI3
GOLD,I,Badabeu
GOLD,I,Prada leesin
GOLD,I,gugamer1012
GOLD,I,Linkkle
GOLD,I,XDXDXDDDXDXDXXDD
GOLD,I,Bluspace
GOLD,I,DykePlayingPyke
GOLD,I,Chilly Snow
GOLD,I,Noskibo
GOLD,I,EHIRENE
GOLD,I,SHAKOFFEL
GOLD,I,DarkJexxit
GOLD,I,TrouDuCulWarrior
GOLD,I,GODSaso
GOLD,I,Galaxy horus
GOLD,I,TheDestiny9
GOLD,I,PeepoFeather
GOLD,I,Tastaturlompe
GOLD,I,VodkaAgrume
GOLD,I,Valentinus112
GOLD,I,Mid GAP Bud
GOLD,I,tenshinigo
GOLD,I,nima74
GOLD,I,IIIlIlIlIIllIlII
GOLD,I,ALAN TUTORIAL
GOLD,I,Da1Yin
GOLD,I,WissameSO
GOLD,I,Finding Teemo 2
GOLD,I,Malthe55
GOLD,I,secretlyninjaa
GOLD,I,adc 2k17 smh
GOLD,I,L0oL
GOLD,I,Ťom
GOLD,I,Angellrg009
GOLD,I,TN Baba
GOLD,I,Vixedi
GOLD,I,T1 Wolf
GOLD,I,Woz
GOLD,I,BollywoodAgent
GOLD,I,ROCKENR0LLA
GOLD,I,XiEmree
GOLD,I,T1 Movement
GOLD,I,ItsYigo
GOLD,I,DeBagger
GOLD,I,Skilledzx
GOLD,I,Giesielo
GOLD,I,Ąjin
GOLD,I,simen b
GOLD,I,LeoNiik
GOLD,I,Sigmachief
GOLD,I,Sw4mps
GOLD,I,Nihono
GOLD,I,KC xmaiem
GOLD,I,Minzo
GOLD,I,XKaliBear
GOLD,I,pæll
GOLD,I,Coronel Coquina
GOLD,I,Mardok217
GOLD,I,HP Loveshaft
GOLD,I,KanekisHoe
GOLD,I,Fett Feuerstein
GOLD,I,unknown aspect
GOLD,I,Only 5k Damage
GOLD,I,SupiJr
GOLD,I,ReckonThemFOOLS
GOLD,I,FAKCING BASTERD
GOLD,I,SyOK4
GOLD,I,Politikadet
GOLD,I,GMAMPELKLK
GOLD,I,Swilern
GOLD,I,PD3Coco
GOLD,I,TFTHIGHROLLS420
GOLD,I,Hachimi D Prime
GOLD,I,DukeShandochap
GOLD,I,Poysh
GOLD,I,IVT Hefemann
GOLD,I,Exiled Spirit
GOLD,I,timexx
GOLD,I,NOT THE BAD GUY
GOLD,I,Dr Fyrst Walther
GOLD,I,12376543sdssdf
GOLD,I,Rabarbarus
GOLD,I,Jotaro Uzumaki
GOLD,I,Rublev
GOLD,I,Saƒa7
GOLD,I,innocentsalt
GOLD,I,ekikan
GOLD,I,Nayt
GOLD,I,kenetillo
GOLD,I,MrSkeletonCat
GOLD,I,LeadSoldiers321
GOLD,I,ihave dck
GOLD,I,Feed Pls Joe
GOLD,I,hatsυne neeko
GOLD,I,Shenetic
GOLD,I,Adrilol03
GOLD,I,TIKIII TAKA
GOLD,I,CRINGBROKENCHAMP
GOLD,I,DOUBINIGS
GOLD,I,Gragozilla
GOLD,I,XYZforREAL
GOLD,I,Rusty Abi
GOLD,I,Spirit Storm
GOLD,I,Surajo
GOLD,I,NicoxDlan
GOLD,I,Rekkles at home
GOLD,I,Txumiii13
GOLD,I,0umaBeskuit
GOLD,I,galigai
GOLD,I,WillHallas07
GOLD,I,Taronadre
GOLD,I,Fast Trax
GOLD,I,T0xicG4m3
GOLD,I,Allowingthree
GOLD,I,Naixxus
GOLD,I,ChronoPoste
GOLD,I,FrancescoRossi
GOLD,I,Fujitnes
GOLD,I,SU2 Genesis
GOLD,I,Inukai san
GOLD,I,Gnoti0Seauton
GOLD,I,GGMonkey
GOLD,I,LOLvicZ
GOLD,I,Castrón Vilanova
GOLD,I,FFTW DMCZockt
GOLD,I,K0K0L0K0
GOLD,I,KC Vousdela
GOLD,I,negπ itojoclaro
GOLD,I,Flaashh
GOLD,I,CuDDyV2
GOLD,I,Ninja Tabis
GOLD,I,Mariofdez31
GOLD,I,Shwifty Pigeon
GOLD,I,Amwosi
GOLD,I,Skz Bang Chan
GOLD,I,iFahd
GOLD,I,Curtain Toxicant
GOLD,I,Ilzun
GOLD,I,Halm
GOLD,I,GTX mixo
GOLD,I,TRASHWIZ
GOLD,I,ToUcHhhHiSBAcK
GOLD,I,Hildeguarde
GOLD,I,pls buff zedˆ
GOLD,II,8 ánd 24
GOLD,II,El Hopaness
GOLD,II,PØLLE
GOLD,II,20 bullet
GOLD,II,STAY MAD KID
GOLD,II,NaaFearMé
GOLD,II,Orèo Chán
GOLD,II,Blaze419
GOLD,II,Pasdeboldutout
GOLD,II,r6d9
GOLD,II,PikaFanboy
GOLD,II,kleinenoppe
GOLD,II,mast air bander
GOLD,II,Wooflash
GOLD,II,Nightbringah
GOLD,II,enimα
GOLD,II,DerSchöneLange
GOLD,II,bwhl
GOLD,II,IIIlIllllIIIlI
GOLD,II,Caarry Potter
GOLD,II,AlwaysFool
GOLD,II,KasperSomLurar
GOLD,II,AllTheCuddles
GOLD,II,Felartiste
GOLD,II,goncalovt
GOLD,II,Natúral
GOLD,II,kåtåpult
GOLD,II,The Great BM
GOLD,II,Bill The GoD
GOLD,II,Claypro
GOLD,II,CrimpLife
GOLD,II,EB Eca
GOLD,II,Engineer Erwin
GOLD,II,Battata
GOLD,II,xX Bib7 Xx
GOLD,II,AnaC21
GOLD,II,Waffledore
GOLD,II,rapia13
GOLD,II,bacon tits
