tier,division,summonerName
IRON,I,Uhct4-26sK1nnIrIq_FhvyIM4dC6Z_rCh5i5U7NDvGlr7dG2vtVWgFWOrGHyOozo68mTcPLZgkCl8Q
IRON,I,4cIJC7V7tvhc5jPzZjBsA4LvwuLwYfd9i42gy3EHgnEoq3W1RrV-7zRrJwlWn9O36MubdNTWdB0slw
IRON,I,CcpkFDvCOjz4Wuba9DaM8VmrLgF4hc3N0J1IpeP44y44p_8UKSRGMQuHf1SEfR0s8o-2GjzO9nIbxQ
IRON,I,_Gjdoce-3alDgbWgRWQJgGTfb5MHKb1uq-lcTNLoIZqm1e47TsJiVfbS5mlO9meekORg8gdxGY09cQ
IRON,I,Prm5bq8lX-bHxRGBCuYATFk48J8IsCqFikcG6kj-soWsv08QGcg35KeiyxzbWrsHCxLoMYQTlF7UKA
IRON,I,kk099zcG8Pisct9k6fGmcSJ7tP5a3pa0eyV3x_xKmcKg1qtNhObjUuAXroG2B6R-TK7dWfiAbBxIxw
IRON,I,l52WSuB8Dfi-sRKTk5JE32L1tdW2sAsEzouUUhUhg4_mS1dVdzDN0huqF-UsrZKfsQfReG9-m9pz6w
IRON,I,GUw_Bqrkdrk7g3VWLjCLbFi350WZM9yrUFWs5EmCVznUJq2-3wA_iFB3Jd7VO_hzMpc_HUZXKI_brQ
IRON,I,JwG7-olHZtslVr-dpdSCBb-c3EuFAbIBdY1t9IBKsnMz_kWoVv70D9jWDuR1zVDxwXDQoe5fQdmTKw
IRON,I,VfHe1LCYewcewgLtlOf_7R-jto3JYglrzrOXzEPG8YPd6PXrgugiCDqUgqkQ25D7-DVFZW93_jn66Q
IRON,I,wl1jPppGvPEUcb1iDDNja40N68r4Dwe4_YBP3bEHWYpKpAJ9tWYIjf2rp4fnloewihhbWfP9cR3JwQ
IRON,I,4pIusuLMlWCf8CYPPi4PCPmIrBIrytRt8f3WihEd88NWvT3rT-7Anp32f2INFN8Zrx4_Tz1WGr4B5w
IRON,I,I-McyYG04Dia0YX5ubiHr4FtFj_04sK_WPC9DTusmymN1rlY29b6tvVrawYg7qfx_mhKtMCYSvTqvA
IRON,I,FTEB3PTkZ4HQ6P3sw5UKQCZAc1F9eNMsHS9Nsg-iSAtPhLkKMj1yJJwhNzkSXdj9_UxIx56mdENOUw
IRON,I,FJx1pldkQmhXhbeGMTlUtzS8SHpTPf1qYGEslZtq_NpV8_cMr5QJ11rR7jsz4mRQzBogn3DSX5FK1w
IRON,I,5tGVuyowlrRaPB6R52RHo0HMRvzV7l7o8knW12ytAkJV22n05eLhEjq77jYtHSRP5jKABHV6N3WGlA
IRON,I,jrH3AdP7ZA5TUzpn-ptijefrh4MJwtfqLMq1gUHN454b2b9TArzJ5_8JyWFwoGGLlSht843TzgJzaw
IRON,I,veBW_6jpqCoOftxrjKNlAqQSYIYpHA7-yYs2gh3gjKx8SX464jT_RORQCuwJaRPZCYTlYWNiqL1ySA
IRON,I,wSbQ9SZRhlZtdTw8AQhS8x0LaGZGwqvzss5827r5BIb80mHAHCFb1CXXc5KuiKjEYpwbuUH8UqH7fw
IRON,I,lUsy4r_3QyRXaRBpI88LPHHNRafa9PC0sQdFEDmUev4cA7CfGxHKmuhnxfDTY7ZkLkOvyfdBJ4pLGw
IRON,I,kcYGMRMIBCsWjXOcmMoO1ujwle2zWIF3QfjWddUS4_cBHKodhA5sWCq6DrQzRBQiMZGFWK2oZxC8jg
IRON,I,Tg0MkRRLO8Nb8HcvP4pSF2c_CYxTI22rw5CDi260Y7t-nRj2IyLwi461EYenmGwjbzf9N7qEYYAw6Q
IRON,I,bBMyu4YxYFwutUG9a1mWz3TRa93fz8PNc9fh6HLsXx77WP6LRXfYykId9L3ASMjG8VJe4D03F0thlw
IRON,I,OzuaGQyprRI817qAOXWBTcjS7w30JkaT1WnQkDPkO4U4v5MVz7ZQdyEPOssre2BUjQH5-vGZO7Et2g
IRON,I,xeM9-b9TZKKcUIiZ1RFrnLv0Ownypz0JCB99eqW2oeZ99GunME1M6f5yltchHdkYaiakwfeXvJZZsg
IRON,I,6Jlyi0skOMBmTZ6_JCJgpseDiPuXIuPuJzD3EXVCxV90E437MJ94IQs5jWGv4K7frUfATBwkUV4FIA
IRON,I,FVdlxKzKqc-p1SJpHW_P0m3FA8XW3ihnORdgJlAjRFP-EwrfZpE-FF-wpPWdxh0oL3pBOkRl6EOHsg
IRON,I,-yfu5igNvFrZmyrb-kyspqN8BREemvI461rhN1wUA4EshQS2bt_BafM6uXxk3ImfaMGwHjqboVyrJA
IRON,I,wMgite9anCC-CNVqW-1ODyo2ToO7BmGa6rjsQDFJdF6PK9XsqhnefZCqB8wiCbTvj6ewqqwXJoXssg
IRON,I,2gckfychxTFocSBdbztUtxT1-2i6bXjZjEMEpY_7Bpd2WJi82KdyRjcNoTCG9soMDaKWc_qlTwhP9A
IRON,I,1wPqETHDNbzc72EstPjsMCbtHqBbQt2JBbbrOZwywgJxP-pZPP8sN-Kk0ZAHhCYm86864TUviGEg1Q
IRON,I,Hv_DdcH1b4bkmcpA4K0D083fDQIXY65cBfIz4D1N3YuMcyEigcZBZoDkCLC7jID7941idaWiaF1bPw
IRON,I,79S85fRwyjsOZukuZI20onAPMkcCCoFM86fR9DkCBdvY4cPa2JgYcTY-hrsqIcIRj-0TSlQ3JEpQYA
IRON,I,lTdWCueTpqEf3U_4_v97jhbe_bIupm8Nz6MylXTW10fRgGgLoPni3LNZnPKvnIpTZjTc_07GiT7VGA
IRON,I,6hEjJrnzWJb4l-nJKRD6_g_7QrhDVA4hBHJqFSwMIOUePn_L0AEcILaKHyCjRw9T9Q5HQEeL0N-reA
IRON,I,80cjFLNMnYwOxGJsHLdY-TfzgFSkzX9cg5P35FfNSaFGeobls-RH2rOY9a62OE-L6n6YjXsHs7jlJg
IRON,I,Q4udEWvdguLJmPK3DMQupD4KIVFSARe1xDTPyRQnyNyCeBNHuNS8S6nJEeAp1Il7z70Kk5_PT5UqkA
IRON,I,pvq1UBw0fPHnxmN6s74wMdGEFOxGulbbB0FCKjSJHX3T0I-yAnT_kG_eXaOuBnOssOlTh7JH1lXjOQ
IRON,I,5RXe8AYM89BTF1B_0bCp-CaKz63fq2Ix2yKGaZidw21ggnRKCSEETSbqaDBwxP8toYQfOQChm6vD4A
IRON,I,qZ6ueqC79FjzKrF17mZ_CFIZ4PtbTupsPHfgFeRHV8LMO8t39YgLqOfXK13UjHZLPfn5RipjlyYG0Q
IRON,I,yMMDx5ZpOJ-wVRj7tu8IxzLB6KHsm2oXQWWQBhuOpfvdbBYZSGKHJWh2Hj1wm-My9-hunktMvjwQWw
IRON,I,_1nN_BWm48fmKbcKFM270lUAszHQp-NOQ6Zaue3O9AEd6Vh18ROkaIGjPUt_97hl1Jie6Nxrc1rvFQ
IRON,I,6bwmRwi60RCFhM46OnbSod10XjB7UylUz7fV8MgromsmX64KTmXetc6X-yfhstOgPNAqDun78ug7rw
IRON,I,EC6KeUD2c4BYrKXMFPeiDWtkOFfFvcli0T4J0_JX8wDwDdfFAWeJqK9ZzmjI_HfvrlJzLXxUjZY7JQ
IRON,I,y8HPjto2wk9eYCG_6Y80j9uWiZR5Ea2VHs9Csr_wPw82VjgD-fBpxIkzCmsWOxK6qm1MadBqT1ALCA
IRON,I,ItksxqE06JtJJ-A0wIoHW30Ur_D4mlsW8cV1N1u4-ulNCcVQEge8a0mqjzWIpAYzDG1IxbkPTBTrfA
IRON,I,tkarjJuXeNhGRroqYxp1lbt5QemXdSHgO09Sv611WR7bNF0vSD_sQEQwzgbAx5jTDIXTlesIuhRbBQ
IRON,I,8BIVxFFoJUG_-5-6tnjh2AoJmHgeZYhjnz1JAwQJnwG5IfR0sejsKSTEt_Ap_VWa3AnxPiffT11O_Q
IRON,I,Qe-XuFvAfxowJZSfOJQ6AutdwUBTNPJ1MzaDyy0tXWAmY-MY8g6ppmRLzSdLSEmEzbXeK16jOAaA2g
IRON,I,5dpzis566T4R82eJVwbOifQu_KaLnQvcXAOD8sctRfDqWpISVb0E3ojdNmF_wMrQ1VSDR8MSVV3F2Q
IRON,I,8jv2YyO22FnGw_rrwFH_N8uiiXdsA6hHhuhn8ldC9oXUSWPpGAq7uY8A8npajhHr1f84B1AA7WJ_Lw
IRON,I,fDU5HbSl8ehLxufpDdfcVIVeENXKnWNRH4E6hWO812GA0tMy7QGfZJLxGA29JaxqRVVkeUam7_bHzw
IRON,I,7g8rI3n4uUP909MtuHrl1c3qfCIxqIqcGh8nS-2KpbFcrhAzM3i2tC_ByNKYQXOCBIAJ_CIciNzvQw
IRON,I,FR2pTfNbN1SFQTxZbT39nJcHuyPb9CM0nxFoWBGIAv9566RcNsycWPyuT_2xDeiKtsnvTaUVR0meBw
IRON,I,YQYW52rJ7T9KNn7hlm95BzWgLCVkFj4IQe0h7nkURNUxUf1ye8k4nIFIt__sHvu39rcGfogo6NeLqg
IRON,I,OvQOyBh5ft6etoVVMb4lyVx2nAlsv0jBbPAZH7xG8SvU9OttBuKe4jZZp5HQTh9gySh8u5QuL2df_g
IRON,I,mfjOzMA2gayqFBTYD31VwQJ94F1RxOo_8oB7Sx2Gax3qRHcHwCoDBDTX3gT_HAvDrBeE7hHgJRPvbQ
IRON,I,6wnXX4W60DL5aHWoxDrZWBzS2sadZ6_JyCvYsEAIaznkEKZMN7serddg-ycmrxXx_Dsa6bkbi6ilPQ
IRON,I,-CskDWkuZ60_H7uxbMF1j6a-P3_0RF5y_O6maWBZnx3a6eAGxWrRo0Axy-i9AJnUW0zAyJu2zci4Cw
IRON,I,lvWQZcfyNa8gmRrHtrzHauEgMokdTn5QSicNjp83XCD6UJSNbom21Tq8gBgkHdz7CFrPUyTHrZ7sQQ
