tier,division,summonerName
PLATINUM,I,Vo3R9rLiwBySDX_lowbaHXxcSTbvpWkiXyAaqmvak0IijQo5-3cDJN1mqXB-Oau2Ee6nJogm_V2HMw
PLATINUM,I,iml8ZIn_who0xtermjdt8GFvXfdj8Grnz0fyltjUHvp8zW9lSe7_f_3BV3gMQkUjNXXHuTbnjbXBBQ
PLATINUM,I,EShW3eUzIPTL6E7k4VJWxOdNYyUm-n6CFE7lo7cBvxbmnrMshEOGvcOW8SaTeqQ_tYNI1CaQV5c_Ow
PLATINUM,I,ybXjAEcDL1CIC3NvMedQoMMF3sDOoSbYXupzpnLh-Oy1u-WPoaD0ocrW7ODXk1IBGjXSWcwAUYXupg
PLATINUM,I,1Gv6ZjTVoaGbRgHZ-MoRIqlUOWegJpZZIA367WaK2E2LFHlhHt8mMFMjEVaJGHIw-4dSTJxBueGdWg
PLATINUM,I,TLf0PlHWr_nT6H85QAUjBPCq0nzZfrztCpsRx4nb3M7a9qBPL8y4Unzay7QiG4j1iWQMAyszD8PC-Q
PLATINUM,I,sH9ulGimYrrLh4MGyqY2heM_uxjf5eDqDNl419UXrcZ0I_wanma6YjjeidM2AUtBlThKBh73dPYmUQ
PLATINUM,I,ACcNGR6sUESrIC25SvwP73vdWERjez3AKD4ReAo3yIdP7_jdviYdkqm-juqZdsXua0CLol-T4J_hxw
PLATINUM,I,VBm0Bu_DLQZKloSwcMimf0U-xvNBhICl-M0sV1MjINqgzS9sQB78yQ-QroPOcuY4RfonGRK7E1jnQA
PLATINUM,I,KcPdnG4_HrgTS6QopBKY8a96PWIMP_xVd_Vow1d37AWxaEfQYL3xRk3iXLj0zUlO41cy-4vqpzwKjg
PLATINUM,I,OslIr_irgqyQ9PgQJWfo43mcfn_ymGVGWV9ic4M8yFrIRn0o9C1J7lPu8z4jUYjePuZKyEtyKWWcyg
PLATINUM,I,uNIvzqvv0YvgwZPSg7H1rVM4ycis2mV1m1wv62yCqQ35wowhQR4z5gcABQN_1CqsrKS_xCYAHyGIVQ
