tier,division,summonerName
SILVER,I,0Sei6mDMP0mRUhmp8HzaWWTaO-kjEHLJZAwe6JQCjTRoOcErjFnTHiDA-l1tHzUE7FkHD0CuTGcX5w
SILVER,I,IBeVK3K4qT6KnNR2K1RV1bxyKcfX4kU1ypId0qn7bkFTDxd8f3FN1w2I2LbpbqzHIPQ75rcJwyCPJQ
SILVER,I,513Kfw1C_WvogWkuJUJhq8dtCdo3fdcQ3mekXKO1tCiYGdlnyEsGakaAodA9X24lGy7hc7KGZDgmfg
SILVER,I,CyesZqZ-OMPGbFKVRvych_VOsYj0rqIPpaW2r5CdSClFiU2kFSvap5xIw_-9FT0-TNL1d7wj0GMObg
SILVER,I,Qu890AuMJYNO6cdV-IXkbirID6ngR4yy6y48Qq6B5oa0h8QX1HeOSUD1uHo6UR_hYmW-oys31Vv4ow
SILVER,I,NI15jsAoAXNjQX7SZDlN9s7TGBsODEavhmNOQSQQ38AFrYftMWx9_7k8Lod5DLrr1pcH9PwbcPjhOA
SILVER,I,TZzkz8U8vTbgrJkFF3GFLTzp21LxomiaVeQajaNvlIPoyK3uQl50xY51X27m5XH-mO2gEvcm_SIYWQ
SILVER,I,65J9XzUW0zx7ElIYKjRol_D7eYWNYkC37UCxPbnj8xEmLIf5Snji9B5H4olialAL7cVdrf0IN3zwSg
SILVER,I,ktWOc2bEbHwWeiakvIs8H07BCssdTmLJwRIVI73pYruviYkDI38fFqnYeqUVoDTDcC1RSFJCMbm8pg
SILVER,I,N90zSuZzYyaP862nd3ZVaZG75dZdBG5IcCNczd9WYkYfhCzK4nKo2Ly4P6xWr04U8Xpc-0r_Ji_EMQ
SILVER,I,0oTgcZ0DCHbXzYP4z0hmlgOp9cg9I1KFtO2tlMdcc80fHbNvbh6zfVOQ6gtyPddmILtwpkGF8jeiXQ
SILVER,I,vBPyzIl2ud8FdLnmu0PJNDXSjv7Xpwx3sWqTTANSovDg5O6EyEPWQIzhiTItV_UvuJbQhGVfLpOguA
SILVER,I,0L_bxfzXCk2JlWBNv6kh-oTjb6fjmItIBDkxvWYAhemB8q7F3OXwXCcbAmLCOiOLOMOTSaHanBGHSg
SILVER,I,EFvxZZes-jl3qXdRZDLRyTpimC4ZpA9JOB9M9-_031BqTQ807H8swZcL1sdJ_X8I1Lq5j4tqJUVQVg
SILVER,I,HwifFY1y7LNBIcqfxaTxLe5kTNWa_cqpomq5a7ZlUapRoBKXyJJqp-O2KlYHn2rzFTPa0brIjvuFMQ
SILVER,I,nEw-9xJqNcv9EAsDmnZAvaegGYxtCEqA1ZnT-UgHHXhkCc4FMi50b9fufi6PvZ0ersYwH5o1OQ_bwA
SILVER,I,kI9w8Ah7o-nFCNN_ejmxWU6RnJ0spQ4KPcUroXwK6-6s9XdK74XnkWsLpdJ_AzGtFqVfjbxefiSbaw
SILVER,I,5QRVlVoBEgyBDaq3Grsonj4ZQqNCnG5k5AmYWSYL3XD0bt__j55p0AEhwdsUH6KM6CEWzcs2Ti3mdQ
SILVER,I,o9DsMMsr-T3aX9lfsw7QAI19ZFPdAIF2PeXL6Zsei33BsyvxJ2AEE1DwofQ6b9nQx2kTaApePJR3xA
SILVER,I,m6kXsmj1gLbQNrCNwjX-9JCwU_9AAnc-dMepENuFuZsziwGX0ooAx5y_PSSR_JShRYSrDi2wCYff-w
SILVER,I,6pC8YjbCRRj5Gm62Qpy-4ScQ3f7jE1HGkmjQpqcYIUulFd7YdDWpr34v_bbqu7I3LQ82z-NASK2Slw
SILVER,I,tti_rehSDrc9XVtz0lK3Ncp1J3BAMPSHsmDWu3VcSVnt39Xa77Rin_Jn3X-Rfz16wNdfzxyHBPQNrQ
SILVER,I,zlBUIU1FojNiTOXDFqfDnRl3bOa8DcBPrmGBSVi2lOLOhFU43MSdyaCCvH56-9hOPyq6xVUKJj3rVg
SILVER,I,X_5m0OIfKmXmKIo3B-ZTe1lWJFCbzGE1NfWhqdWNubVECM-fi5u7PrKp1b_dJODoU2eKQ_toj-weRg
