timestamp,eventType,participantId,participantName,positionX,positionY,dangerScore,totalDamageDone,victimId
2.92,Kill,6,Shen,2129,12160,100,404,1
4.48,Kill,7,Khazix,2200,12018,100,606,2
4.48,Assist,6,Shen,2200,12018,100,269,2
4.53,Kill,1,Jax,3464,13074,100,438,6
4.53,Assist,2,MasterYi,3464,13074,100,245,6
4.73,Kill,1,Jax,3274,12199,100,831,7
6.41,Kill,7,Khazix,9477,6446,100,970,2
6.41,Kill,2,MasterYi,9400,6528,100,996,7
6.65,Kill,8,Sylas,10934,4356,100,797,5
8.39,Kill,1,Jax,2950,13188,100,377,6
8.8,Kill,7,Khazix,11635,2144,100,482,4
8.98,Kill,5,Leona,12205,3217,100,220,7
8.98,Assist,2,MasterYi,12205,3217,100,738,7
9.0,Kill,5,Leona,12592,2977,100,373,10
9.0,Assist,2,MasterYi,12592,2977,100,306,10
10.39,Kill,8,Sylas,864,10706,100,408,1
10.39,Assist,6,Shen,864,10706,100,1288,1
10.66,Kill,6,Shen,1845,13567,0,726,2
10.66,Assist,7,Khazix,1845,13567,0,410,2
11.37,Kill,7,Khazix,2624,8467,100,1367,2
11.38,Kill,4,Varus,13094,2025,100,710,10
11.38,Assist,3,Veigar,13094,2025,100,327,10
11.38,Assist,5,Leona,13094,2025,100,427,10
12.25,Kill,7,Khazix,2050,11484,100,731,1
13.62,Kill,4,Varus,12998,4356,100,256,10
13.62,Assist,2,MasterYi,12998,4356,100,1497,10
14.12,Kill,4,Varus,11970,4447,100,388,7
14.12,Assist,2,MasterYi,11970,4447,100,658,7
14.19,Kill,8,Sylas,10974,4618,100,402,2
14.19,Assist,7,Khazix,10974,4618,100,397,2
14.19,Assist,9,Ezreal,10974,4618,100,291,2
14.22,Kill,8,Sylas,11228,3632,100,184,4
15.52,Kill,9,Ezreal,12147,2288,100,595,5
15.52,Assist,8,Sylas,12147,2288,100,894,5
15.52,Assist,10,Nautilus,12147,2288,100,229,5
15.58,Kill,4,Varus,12644,2564,100,900,10
15.58,Assist,2,MasterYi,12644,2564,100,177,10
15.58,Assist,5,Leona,12644,2564,100,57,10
16.02,Kill,6,Shen,1352,9338,100,392,1
16.2,Kill,7,Khazix,13345,1686,100,532,2
17.94,Kill,2,MasterYi,4455,9895,0,417,6
17.94,Assist,1,Jax,4455,9895,0,700,6
