timestamp,killerId,killerName,assistId,assistName,position_x,position_y,type,safetyStatus
11.38,4,Varus,3,Veigar,13094,2025,CHAMPION_KILL,100
17.94,2,MasterYi,3,Veigar,4455,9895,CHAMPION_KILL,0
18.03,1,Jax,3,Veigar,4765,9700,CHAMPION_KILL,0
19.31,2,MasterYi,3,Veigar,4071,8585,CHAMPION_KILL,0
21.52,4,Varus,3,Veigar,9537,5506,CHAMPION_KILL,100
21.93,2,MasterYi,3,Veigar,8680,6775,CHAMPION_KILL,100
23.82,2,MasterYi,3,Veigar,4805,9660,CHAMPION_KILL,100
23.86,5,Leona,3,Veigar,4814,10012,CHAMPION_KILL,100
23.9,2,MasterYi,3,Veigar,5154,9477,CHAMPION_KILL,100
23.94,2,MasterYi,3,Veigar,4460,10067,CHAMPION_KILL,100
25.84,1,Jax,3,Veigar,5672,9180,CHAMPION_KILL,100
27.82,4,Varus,3,Veigar,9922,5071,CHAMPION_KILL,100
27.85,1,Jax,3,Veigar,10297,5000,CHAMPION_KILL,100
27.91,4,Varus,3,Veigar,9065,5741,CHAMPION_KILL,100
30.06,1,Jax,3,Veigar,2079,7647,CHAMPION_KILL,100
30.08,1,Jax,3,Veigar,1876,7538,CHAMPION_KILL,100
32.93,2,MasterYi,3,Veigar,9737,6288,CHAMPION_KILL,100
38.42,2,MasterYi,3,Veigar,9834,4644,CHAMPION_KILL,100
38.49,2,MasterYi,3,Veigar,9960,4796,CHAMPION_KILL,100
38.56,2,MasterYi,3,Veigar,11438,4593,CHAMPION_KILL,100
39.04,2,MasterYi,3,Veigar,13072,12906,CHAMPION_KILL,100
