timestamp,killerId,killerName,victimId,victimName,totalDamageDone,positionX,positionY,type,safetyStatus
6.41,2,MasterYi,7,Khazix,998,9400,6528,CHAMPION_KILL,100
17.94,2,MasterYi,6,Shen,419,4455,9895,CHAMPION_KILL,0
19.31,2,MasterYi,8,Sylas,1397,4071,8585,CHAMPION_KILL,0
20.32,2,MasterYi,7,Khazix,1934,9128,1327,CHAMPION_KILL,100
21.93,2,MasterYi,10,Nautilus,1272,8680,6775,CHAMPION_KILL,100
22.01,2,MasterYi,8,Sylas,844,8572,8109,CHAMPION_KILL,100
23.82,2,MasterYi,10,Nautilus,1283,4805,9660,CHAMPION_KILL,100
23.9,2,MasterYi,7,Khazix,1490,5154,9477,CHAMPION_KILL,100
23.94,2,MasterYi,9,Ezreal,1179,4460,10067,CHAMPION_KILL,100
26.58,2,MasterYi,10,Nautilus,2466,8610,5941,CHAMPION_KILL,100
26.68,2,MasterYi,9,Ezreal,2078,7366,7476,CHAMPION_KILL,100
32.93,2,MasterYi,6,Shen,3508,9737,6288,CHAMPION_KILL,100
34.67,2,MasterYi,9,Ezreal,395,13511,8141,CHAMPION_KILL,100
36.53,2,MasterYi,8,Sylas,997,9844,13712,CHAMPION_KILL,100
38.42,2,MasterYi,7,Khazix,1364,9834,4644,CHAMPION_KILL,100
38.49,2,MasterYi,6,Shen,1982,9960,4796,CHAMPION_KILL,100
38.56,2,MasterYi,9,Ezreal,540,11438,4593,CHAMPION_KILL,100
38.85,2,MasterYi,10,Nautilus,1815,12380,12196,CHAMPION_KILL,100
39.04,2,MasterYi,8,Sylas,391,13072,12906,CHAMPION_KILL,100
