frameNumber,participantId,x,y,totalGold,totalDamageToChampions,safetyStatus
1,1,554,581,500,0,0
1,2,593,464,500,0,0
1,3,557,345,500,0,0
1,4,458,271,500,0,0
1,5,335,269,500,0,0
1,6,14500,14511,500,0,0
1,7,14539,14394,500,0,0
1,8,14503,14275,500,0,0
1,9,14404,14201,500,0,0
1,10,14281,14199,500,0,0
2,1,1499,10770,500,0,0
2,2,8877,5666,500,0,0
2,3,8605,5491,500,0,0
2,4,8695,4785,505,0,0
2,5,8629,5282,500,0,0
2,6,4206,13516,500,0,0
2,7,11434,7212,500,0,0
2,8,9952,7507,505,0,0
2,9,11917,5868,500,0,0
2,10,11739,6119,500,0,0
3,1,1706,12388,584,0,0
3,2,8578,2559,611,0,0
3,3,6912,6816,563,0,0
3,4,12222,2435,589,0,100
3,5,12437,2207,524,0,100
3,6,2457,12964,563,0,0
3,7,12178,6667,611,0,0
3,8,7563,7334,617,0,100
3,9,13360,2541,584,0,100
3,10,12913,3179,524,0,0
4,1,2129,12160,811,0,0
4,2,3751,6322,937,0,0
4,3,6530,6424,799,0,0
4,4,12591,3157,865,0,100
4,5,13110,3003,704,0,100
4,6,1930,12743,1197,0,100
4,7,7402,10940,993,0,0
4,8,7226,7478,911,0,100
4,9,13855,3563,902,0,0
4,10,13202,3096,724,0,0
5,1,1332,11604,1074,0,0
5,2,3690,10077,1340,0,0
5,3,6906,6907,1049,0,0
5,4,12766,3016,1142,0,100
5,5,12894,2639,905,0,100
5,6,2495,12367,1362,0,100
5,7,2674,11156,1395,0,100
5,8,7847,7755,1160,0,0
5,9,13458,3939,1267,0,0
5,10,13271,4012,925,0,0
6,1,1277,10692,1901,0,0
6,2,8438,2536,1622,0,0
6,3,6704,6309,1353,0,0
6,4,12398,2968,1376,0,100
6,5,12630,2680,1135,0,100
6,6,3568,13692,1690,0,0
6,7,10792,13345,1888,0,0
6,8,7768,7193,1485,0,100
6,9,13844,3727,1459,0,0
6,10,13419,3851,1092,0,0
7,1,1335,11062,2153,0,0
7,2,7074,5096,2013,0,0
7,3,6671,6743,1681,0,0
7,4,12972,3206,1656,0,100
7,5,13114,2821,1366,0,100
7,6,2082,11693,2018,0,100
7,7,6083,8118,2131,0,100
7,8,7390,7505,1830,0,100
7,9,13470,4197,1787,0,0
7,10,14340,14391,1373,0,0
8,1,2437,12018,2394,0,0
8,2,10273,2967,2451,0,0
8,3,6339,6529,1986,0,0
8,4,10682,1493,1869,0,0
8,5,1272,535,1556,0,0
8,6,3161,13442,2294,0,0
8,7,10108,5793,2573,0,0
8,8,10612,5486,2350,0,0
8,9,10291,4929,1937,0,0
8,10,10235,4622,1603,0,100
9,1,1745,11881,2683,0,0
9,2,10447,3253,2684,0,0
9,3,6395,6534,2261,0,0
9,4,12294,2836,2075,0,100
9,5,12615,2586,1757,0,100
9,6,1787,12126,2555,0,100
9,7,11883,5573,2951,0,0
9,8,14340,14391,2563,0,0
9,9,13875,3903,2212,0,0
9,10,13293,3945,1807,0,0
10,1,2583,13602,3413,0,100
10,2,12046,3601,3276,0,100
10,3,6550,6854,2624,0,0
10,4,394,461,2261,0,0
10,5,12424,2972,2623,0,100
10,6,13406,14192,2678,0,0
10,7,12205,3217,3478,0,100
10,8,4654,9588,2842,0,100
10,9,12822,3167,2391,0,100
10,10,12592,2977,2116,0,100
11,1,1442,11731,3703,0,0
11,2,4972,5793,3621,0,0
11,3,6279,6537,2901,0,0
11,4,12372,2693,2425,0,100
11,5,12649,2492,2890,0,100
11,6,1564,11803,2877,0,100
11,7,4857,10429,3723,0,100
11,8,6744,8986,3027,0,100
11,9,14118,5471,2683,0,0
11,10,13881,4309,2324,0,0
12,1,765,4913,3854,0,0
12,2,1616,2476,3828,0,0
12,3,8033,6607,3170,0,100
12,4,10652,1499,2735,0,100
12,5,7758,1392,3126,0,100
12,6,3083,13032,3618,0,0
12,7,3643,8152,4134,0,100
12,8,2559,13579,3822,0,0
12,9,12159,1469,3044,0,100
12,10,11901,1402,2619,0,100
13,1,2205,12400,4095,0,0
